name,price €,profit_rate %
SLMP,56.03,10.36
XQRJ,57.51,19.09
GRKZ,65.68,5.65
IXUE,45.06,12.32
KMRR,58.62,3.54
IWRD,149.07,4.91
DCGL,181.42,13.51
OJPA,182.61,5.35
SULY,176.5,13.06
FEIU,107.06,18.05
YRED,45.48,3.14
NKHK,154.96,15.83
OBTS,137.6,9.35
GHIH,192.27,9.14
RJHW,8.39,8.78
WNRX,29.9,3.4
HVWU,71.92,5.62
PXFN,32.99,5.73
DLUN,109,14.42
PBXD,163.99,11.98
QLFJ,174.07,15.96
BIZP,189.26,13.57
DNRB,10.67,19.32
ROQT,176.2,13.08
WDFU,193.02,17.03
GAKW,141.65,4.92
HOKI,129.23,17.45
GSKH,164.88,4.28
TMYE,88.24,4.96
GBGN,83.94,5.92
QSNI,75.67,10.48
HBOM,153.89,17.48
YXPM,196.31,17.56
MDUV,59.29,11.99
PYUK,152.83,7.62
HMUG,108.15,19.04
KPHU,106.22,4.78
HONS,151.58,11.56
XPUR,110.64,3.6
MSQL,9.58,6.98
USUP,134.2,13.73
JMHF,176.73,1.34
RSBI,76.39,19.63
YPJM,108.97,4.85
KOGP,48.34,11.55
TIJA,92.59,8.19
DHNX,32.64,11.49
OBTB,158.59,15.26
RNJJ,60.18,6.31
CMPN,134.21,2.57
VNMJ,96.2,19.64
FRQW,190.11,17.01
XPWB,82.44,6.22
DDIR,95.68,18.84
YNJU,62.08,5.14
SQXW,55.12,11.63
BXRD,119.31,2.34
USRU,40.85,13.38
JBXJ,37.74,1.94
ELAV,53.72,8.99
BKEY,102.07,4.09
GHTA,33.74,9.91
CDDP,115.63,3.82
CQZL,37.25,14.03
ELTV,24.99,13.04
IJBY,81.73,13.61
KWUO,71.08,10.91
LUBZ,3.85,16.48
XDBF,105.87,6.54
AMQW,50.5,8.99
BEQT,158.76,10.76
IJPQ,165.8,1.06
XCQQ,31.42,11.72
TFZO,148.61,6.35
JXVL,185.79,15.05
VTIX,1.93,10.3
BDIR,176.67,7.35
OGJZ,69.34,7.21
FKZC,193.2,19.69
UOMD,160.43,5.71
MIPG,132.62,13.87
XIXY,33.52,2.42
DSFP,87.91,8.37
ZTDP,29.8,15.16
ZBJI,111.79,16.69
GAZQ,147.96,7.28
BYCM,76.15,5.36
WWRN,65.28,14.24
FBRN,186.81,19.71
JRQS,148.98,4.2
EQWV,11.31,13.86
YACV,187.41,6.7
PSKH,157.88,6.33
IEBH,153.21,9.67
CQPO,144.95,15.72
MVUQ,136.32,8.49
PZIZ,110.6,17.21
ROVQ,132.77,9.9
SDRW,26.2,4.42
MKGE,152.02,4.37
FOJF,99.53,10.83
ZPZO,164.76,2.81
AQJH,149.36,6.52
ONAQ,186.33,11.72
CHNJ,62.88,15.22
AGZI,182.54,16.08
WCBV,89.09,11.04
NRRB,19.63,18.76
NYRB,194.48,17.05
VQCW,116.68,12.06
EGCV,58.46,8.13
WPUO,166.29,9.04
LTLW,119.82,9.18
UUBY,132.99,9.74
IXKD,76.38,11.28
VYJL,83.68,13.76
XFTE,144.86,5.42
DYBT,10.63,2.44
DGTB,138.78,14.78
DWUJ,93.59,7.77
EHQU,113.98,12.08
HTRI,189.01,13.14
YKYO,125.89,12.94
XDWJ,124.63,5.22
WYBH,129.47,10.69
RXUH,103.09,7.76
VMHC,160.53,12.2
NICE,18.06,9.21
YAEX,67.18,19.29
VUIZ,190.45,11.74
IUGE,25.5,9.04
HHHC,53.03,10.76
XPSI,138.78,17.72
BRQZ,138.67,17.68
WMBD,100.02,3.78
IXNI,154.25,2.39
DPET,91.91,7.04
LFSF,62.17,5.44
ECQC,84.7,13.66
TCOG,116.66,19.77
MGZD,169.7,16.18
VNQR,142.36,19.78
EZQI,130.49,12.23
VJDE,145.07,12.84
LCTX,172.53,9.42
YSCX,140.11,12.49
KDNZ,107.05,8.63
YYJH,84.3,1.6
GGWX,75.81,13.37
DXNG,199.52,17.78
YDKG,43.33,9.19
MZPY,167.22,4.31
HRYT,93.08,7.63
KLLH,117.2,8.51
RAAU,148.53,5.05
SYFF,194.43,4.16
FXTC,72.98,15.13
OYXQ,49.79,8.79
DNYT,26.38,8.52
JLIR,116.9,15.49
HFVW,33.54,16.36
KTMJ,39.22,8.61
SOIU,165.48,19.89
TEOC,144.55,6.05
FVQJ,175.28,5.58
ILDN,162.88,14.18
GFLG,112.09,12.51
TLBS,184.2,7.52
BIWT,104.53,5.88
AGKD,176.22,18.63
NNFK,196.14,8.35
DRGY,189.12,19.61
EBST,174.07,11.61
GNES,92.54,2.36
LKHR,49.44,11.78
OJRA,37.12,18.86
WVRP,172.5,10.74
UOEO,199.59,12.31
TTZO,64.84,9.62
BPTV,152.16,4.65
ZTHY,64.15,16.32
ZHVH,127.4,2.1
AEMK,73.5,2.27
HWSQ,44.53,8.18
MKSF,153.31,7.09
LIRM,96.13,16.64
LXOQ,99.11,17.67
OTWJ,15.83,4.16
XFLS,59.33,13.57
XNFO,12.68,11.09
PSJK,76.5,5.98
QABU,192.05,9.26
LCVS,33.55,17.32
URUZ,4.35,14.78
RWZS,27.72,1.28
KQOE,173.14,19.18
TEIQ,95.04,9.22
TZKG,185.14,13.33
IYQM,65.48,2.55
DNNM,189.1,2.85
ENOA,102.92,10.42
AXEQ,99.89,18.22
LHSY,14.71,15.42
GCZA,65.02,4
THNO,20.2,14.54
OUOV,170.34,18.96
BXJQ,145.19,11.27
OOOC,148.97,16.04
MTJW,50.63,5.03
KAIW,60.31,7.91
PLGP,180.32,10.02
XJDF,55.09,14.1
FDLV,140.13,14.23
OFMV,56.38,9.31
RSKB,52.91,3.58
UGTU,122.41,3.02
BUOH,119.6,19.9
MXIE,49.63,16.59
QEIL,187.94,16.14
GHZB,184,6.72
UKVK,113.83,18.99
QSBF,107.13,18.41
SUIE,186.42,7.16
XKOI,102.79,5.75
QVMW,139.11,1.04
ZJWH,129.47,8.57
QPSX,21.35,3.61
NFPX,59.59,11.13
PHLQ,133.31,9.35
XFAM,39.83,8.55
KRQQ,157.09,2.13
LDTD,21.89,11.56
NGHI,111.26,3.39
MFWO,85.53,19.18
AKRJ,169.26,10.4
BHKM,175.22,18.19
CSVR,142.91,10.6
FDIT,196.31,19.18
NCGD,146.76,7.97
EVJR,98.21,4.02
YEKS,20.08,15.62
SSTM,46.31,8.91
NZUB,46.57,14.7
KJBM,129.66,16.53
WGUH,152.28,13.37
MVTG,40.52,9.81
FHBE,3.77,6.97
JDLP,149.63,9.54
XUXW,193.21,15.91
YFGT,117.64,14.79
OGHC,131.67,4.73
JXXG,139.77,19.29
FDGF,186.83,15.08
PQPM,86.76,3.63
XWUO,36.54,2.96
ICHF,122.19,19.28
QPTY,119.17,15.06
LWEQ,5.17,2.26
NMVU,74.03,5.86
GFJR,81.01,7.85
VYDJ,195.01,2.03
GGWW,57.96,12.97
VQNV,102.75,19.54
RUJR,156.8,13.33
MGGC,45.49,19.17
DFBO,21.19,14.03
SKLQ,75.43,8.21
ZSZR,80.6,10.51
LZEC,125.6,16.71
QDFU,91.1,8.04
XCLH,191.9,13.58
CPMS,149.43,17.29
UVLP,129.04,7.71
ISHE,159.87,18.41
APLF,126,12.97
FFKT,154.55,4.22
ILQR,136.39,16.76
DVRF,198.43,17.53
SEBT,140.08,1.86
IBJS,98,8.63
IRUC,55.17,17.54
HFNN,46.84,9.02
DBYW,85.74,15.08
YQPO,174.2,19.13
JRSG,149.68,6.68
TJOL,157.63,6.31
KMJY,47.77,6.95
AGYY,115.61,15.94
KMTX,194.37,11.75
BNQM,124.58,17.4
ULQN,110.17,12.24
VMMA,166.69,16.78
KESJ,77.27,13.85
HWJP,104.32,19.56
IAGU,165.51,19.66
KZQS,36.26,4.85
AALS,137.87,18.62
VXJD,97.5,14.3
ACYC,175.45,11.54
ZLYW,128.41,17.86
EBDF,45.9,3.83
GGMO,155.94,11.6
HLMV,91.14,15.49
SNSB,198.31,10.57
ZIEA,195.98,5.23
QXFI,58.25,18.67
EOYX,94.72,11.13
MNDJ,37.13,2.09
AGXN,12.14,11.72
WYWE,67.95,3.86
ARSJ,29.2,9.26
TWGS,2.05,15.6
UQUL,86.79,14.74
AFWM,69.8,3.55
TYJY,94.16,15.01
DUEG,24.48,9.21
PAGP,150.21,12.81
ILQF,94.8,16.34
HRAN,73.58,16.52
